TIMESTAMP,scale(1),scale(2),wc_A10_mean,wc_B10_mean,temp_A10_mean,temp_B10_mean,wc_A20_mean,wc_B20_mean,temp_A20_mean,temp_B20_mean,wc_A40_mean,wc_B40_mean,temp_A40_mean,temp_B40_mean,DAP,w_vac_A10,w_vac_A20,w_vac_A40,w_vac_B10,w_vac_B20,w_vac_B40,DAPx,NO3_A10_mean,NO3_A20_mean,NO3_A40_mean,NO3_B10_mean,NO3_B20_mean,NO3_B40_mean,N_vac_A10,N_vac_A20,N_vac_A40,N_vac_B10,N_vac_B20,N_vac_B40,A_drain,B_drain,hour_irrigation,A_irrigation_mm,B_irrigation_mm,A_irrigation_l,B_irrigation_l,A_N_Conc,B_N_Conc,A_N_mass,B_N_mass,actual_area,ET_p_ovdat,LAI,cum_radiation_revivim,A_actual_irrigation_l,A_drain_total,A_ET,A_evaporation,A_transpiration,B_actual_irrigation_l,B_drain_total,B_ET,B_evaporation,B_transpiration,A_N_drain,A_actual_N_mass,A_N_drain_total,A_N_potential,B_N_drain,B_actual_N_mass,B_N_drain_total,B_N_potential
2024-12-08,13.748606204986578,12.287135362625122,17.555625,16.012881944444445,15.699618055555556,15.793645833333331,21.412847222222222,20.751458333333332,15.77361111111111,15.828993055555555,36.86388888888889,36.49388888888889,15.761736111111112,15.824131944444444,0.0,1.1960743871999988,1.1960743871999988,1.7488042227199985,1.086584620799999,1.086584620799999,2.070731489279999,0.0,0.4846875,0.0,0.6115625,0.9202083333333334,0.0,0.135625,0.2449119085055995,0.0,1.1001072648607988,0.2893946248895995,0.0,0.2377293766143991,0.2795,0.0,11,5.0,5.0,9.1,9.1,45,70,410,638,1.8,1.8,0.02,11.48,7.903925612800001,3.2243786099199974,4.679547002880003,4.586885763899582,0.09266123898042126,8.013415379200001,3.1573161100799982,4.856099269120003,4.759942061037331,0.09615720808267222,0.17093171875000002,409.75508809149443,1.271038983610799,408.4840491078836,0.0,637.7106053751104,0.2377293766143991,637.472875998496
2024-12-09,14.20240831375122,12.711037715276087,18.139340277777777,16.68388888888889,13.62861111111111,13.760868055555555,22.058125,21.552152777777778,13.960902777777777,14.033680555555556,37.02732638888889,36.71045138888889,14.092743055555557,14.158159722222223,1.0,1.1675470732799988,1.1675470732799988,1.6085971097599985,1.048321923839999,1.048321923839999,1.9535768166399992,0.001,11.807935049019607,0.024999999999999998,0.6293382352941176,22.68512254901961,0.03897058823529411,0.5666911764705882,13.025363620649223,0.0027192291839997,1.0434911420472457,24.148020644803196,0.001915308403199909,0.5246218689264931,2.649,2.188,6,5.0,5.0,9.1,9.1,45,70,410,638,1.8,2.4,0.02,13.05,7.932452926720001,5.425144183039997,2.507308743680004,2.457660704125567,0.049648039554436814,8.05167807616,5.1898987404799986,2.8617793356800014,2.8051123081302247,0.056667027549776636,1.6671169852941174,396.9746363793508,2.7133273565253626,394.2613090228254,1.239920294117647,613.8519793551968,1.7664574714473402,612.0855218837495
2024-12-10,14.42455252011617,12.994129657745361,18.337256944444444,16.948541666666667,12.810625,12.934548611111111,22.262777777777774,21.950694444444448,13.131805555555557,13.199305555555554,37.099184027777774,36.7653125,13.331770833333332,13.394687500000002,2.0,1.0996014758399997,1.0996014758399997,1.5580419942399986,0.9416145830399989,0.9416145830399989,1.773210193919999,0.002,28.99904411764706,0.8844791666666666,0.5210784313725491,48.851231617647066,1.536029411764706,0.6171629901960783,32.16147114084142,0.9946420399103993,0.8446321090424459,47.34152232965761,1.770062466124799,0.875035985919999,4.0374,4.279,6,5.0,5.0,9.1,9.1,45,70,410,638,1.8,2.5,0.02,10.59,8.00039852416,6.695043470079998,1.3053550540800014,1.2795072922034851,0.025847761876516273,8.158385416960002,6.993824776959998,1.164560640000004,1.1415007943132696,0.023059845686734266,2.1038020588235296,377.8385288591586,3.943076207776375,373.89545265138224,2.6408404350490193,590.6584776703423,5.285938887093817,585.3725387832485
2024-12-11,14.491126696268722,13.156231880187983,18.41326388888889,17.044444444444444,13.151979166666669,13.258993055555557,22.35076388888889,22.09940972222222,13.39892361111111,13.459375,37.11409722222222,36.76444444444444,13.56659722222222,13.628958333333335,3.0,1.269605998079999,1.269605998079999,1.7189433715199989,1.2117326476799988,1.2117326476799988,2.0400663756799995,0.0030000000000000005,36.30979166666667,3.9525,0.8120535714285714,56.463125,9.7609375,0.5616666666666666,46.427395189459205,5.2109013952128,0.8165103037467417,69.5871400857312,14.373286887945602,0.8715868575743991,3.02,3.635,6,5.0,5.0,9.1,9.1,45,70,410,638,1.8,2.4,0.02,10.15,7.83039400192,6.008549369599998,1.8218446323200022,1.7857696915710994,0.036074940748902724,7.888267352320001,6.886799023359998,1.0014683289600024,0.9816379274053275,0.019830401554674908,2.4524017857142857,363.5726048105408,8.479813484673828,355.0927913258669,2.0416583333333334,568.4128599142688,17.286532078853334,551.1263278354154
2024-12-12,14.793170293172201,13.310456911722822,18.448229166666668,17.11111111111111,14.795486111111112,14.868888888888888,22.39513888888889,22.240520833333335,14.846145833333333,14.888159722222222,37.01982638888889,36.64607638888889,14.929340277777778,14.9746875,4.0,1.1103167846399988,1.1103167846399988,1.499778612479999,0.9547026355199992,0.9547026355199992,1.6214875750399993,0.004,46.18598958333333,13.51328125,0.894248511904762,65.67640625,26.675,1.5046875,54.110702429128814,18.382642456567208,0.8151302587151076,65.029710222912,29.0058572467968,4.303696558788266,2.65,2.776,6,5.0,5.0,9.1,9.1,45,70,410,638,1.8,1.7,0.02,10.52,7.989683215360001,5.260095397119998,2.7295878182400033,2.675538358113132,0.05404946012687147,8.145297364480001,5.352190210559998,2.793107153920003,2.737799926675994,0.05530722724400902,2.369758556547619,355.8892975708712,21.567531271829935,334.32176629904126,4.1770125,572.970289777088,37.486566305585065,535.483723471503
2024-12-13,15.098095893859869,13.498882214228319,18.39515625,17.161979166666665,15.605694444444445,15.726284722222223,22.332013888888884,22.348645833333332,15.831493055555555,15.891666666666666,37.01065972222222,36.59684027777778,15.933055555555555,16.00722222222222,5.0,1.5689320012799994,1.5689320012799994,2.099842833919999,1.456779667199999,1.456779667199999,2.3358453350399997,0.005,48.10604166666667,18.092604166666664,1.1379166666666667,67.97479166666666,36.61951388888889,1.1385069444444444,76.11255794997122,29.599706504054403,1.318203283203199,100.3801356748896,59.2097015781888,1.9376155669333326,1.943791,2.329891,6,5.0,5.0,9.1,9.1,45,70,410,638,1.8,2.3,0.02,11.02,7.53106799872,5.612565835199998,1.9185021635200021,1.8805132754184457,0.037988888101556414,7.6432203328,6.122516002239999,1.520704330560001,1.4905923673067503,0.03011196325325063,2.2118721754166666,333.88744205002877,33.129781962674265,300.7576600873545,2.652597083298611,537.6198643251104,63.79991422842074,473.81995009668964
2024-12-14,15.350147326787317,13.613515138626104,18.35713541666667,17.17184027777778,13.673159722222223,13.831562499999999,22.16871527777778,22.32986111111111,14.0628125,14.145381944444445,37.19038194444445,36.80041666666667,14.232256944444444,14.307222222222222,6.0,1.5200982988799991,1.5200982988799991,1.9812327551999986,1.4906911910399991,1.4906911910399991,2.221129932799999,0.006000000000000001,49.088750000000005,23.174166666666665,1.0089583333333334,68.0009375,42.04135416666667,4.008854166666667,75.12251014262401,36.440419805798406,1.0888002452223988,102.3853937501184,68.6756968306368,7.691543143167999,1.943791,2.329891,6,5.0,5.0,9.1,9.1,45,70,410,638,1.8,1.7,0.02,11.56,7.579901701120001,5.445122054079998,2.134779647040003,2.092508177830874,0.04227146920912881,7.609308808960001,6.041712123839998,1.5675966851200025,1.5365561910346939,0.031040494085308686,1.9612041277083334,334.87748985737596,39.49042417872914,295.3870656786468,9.340193243229166,535.6146062498816,85.70743321703397,449.90717303284765
2024-12-15,15.561638593673711,13.878951629002893,18.669027777777778,17.447083333333335,11.104548611111111,11.260694444444445,22.448680555555555,22.808125,11.481770833333334,11.574826388888889,37.43340277777778,37.04826388888889,11.645486111111111,11.733680555555557,7.0,1.3038949862399993,1.3038949862399993,0.7602711603199995,1.2662259110399992,1.2662259110399992,0.8885913599999994,0.007,49.30125,27.177187500000002,0.9923958333333333,67.19708333333334,43.11416666666667,7.281076388888889,64.559301637824,36.25450937377921,0.4189211800671996,85.75073191680961,61.84857014486401,5.911919410432,1.943791,2.329891,6,5.0,5.0,9.1,9.1,45,70,410,638,1.8,2.1,0.02,13.23,7.79610501376,4.007957146559999,3.788147867200001,3.7131375137192557,0.07501035348074554,7.83377408896,4.484708271039999,3.3490658179200015,3.2827498715421886,0.06631594637781288,1.9290100892708333,345.440698362176,38.60244064311724,306.8382577190588,16.964114348784722,552.2492680831904,84.72460390408074,467.52466417910966
2024-12-16,15.7635038693746,14.234034458796183,19.012847222222224,17.629409722222224,10.04673611111111,10.1678125,22.92395833333333,23.283749999999998,10.262465277777778,10.361840277777778,37.54263888888889,37.14743055555555,10.425277777777778,10.533159722222221,8.0,1.1906991667199993,1.1906991667199993,0.7265214540799991,0.975180775679999,0.975180775679999,0.9382827827199992,0.008,48.8803125,29.33729166666667,0.6403125,67.2084375,46.516354166666666,10.865520833333333,58.742690887910406,35.954224262611206,0.16484109993279916,66.04846273108801,49.99286537652481,9.1431473827328,1.85,2.335,6,4.0,4.0,7.3,7.3,13,70,95,511,1.8,2.1,0.02,12.99,6.109300833280001,3.767220620799999,2.3420802124800018,2.295703917050901,0.046376295429100586,6.3248192243200005,4.248463558399998,2.076355665920002,2.0352410690477507,0.04111459687225171,1.184578125,36.257309112089594,37.30364348754401,-1.046334375454414,25.370991145833333,444.951537268912,84.50700390509095,360.44453336382105
2024-12-17,15.866431077321373,14.511653502782186,19.130607638888886,17.63447916666667,11.98388888888889,12.0409375,23.14395833333333,23.382326388888888,11.891875,11.94451388888889,37.42194444444444,37.03225694444445,11.861666666666666,11.929340277777778,9.0,1.3257823219199991,1.3257823219199991,0.488398526719999,1.198748194559999,1.198748194559999,0.610932695039999,0.009,42.26,29.77479166666667,0.5197222222222222,67.940625,48.20482638888888,12.608368055555557,55.911202068624014,40.00636346898241,0.2608061789973328,81.89946775288321,61.9076454640288,8.265525595955197,2.164,2.4,6,4.0,4.0,7.3,7.3,15,70,109,511,1.8,1.8,0.02,12.25,5.9742176780800005,3.978180848639998,1.9960368294400026,1.9565126520885128,0.039524177351489935,6.1012518054400005,4.209680889599998,1.8915709158400027,1.8541153021720147,0.03745561366798806,1.124678888888889,53.088797931375986,41.39184853686863,11.696949394507357,30.260083333333334,429.1005322471168,100.43325439331734,328.6672778537995
