TIMESTAMP,scale(1),scale(2),wc_A10_mean,wc_B10_mean,temp_A10_mean,temp_B10_mean,wc_A20_mean,wc_B20_mean,temp_A20_mean,temp_B20_mean,wc_A40_mean,wc_B40_mean,temp_A40_mean,temp_B40_mean,DAP,w_vac_A10,w_vac_A20,w_vac_A40,w_vac_B10,w_vac_B20,w_vac_B40,DAPx,NO3_A10_mean,NO3_A20_mean,NO3_A40_mean,NO3_B10_mean,NO3_B20_mean,NO3_B40_mean,N_vac_A10,N_vac_A20,N_vac_A40,N_vac_B10,N_vac_B20,N_vac_B40
2024-12-08 00:00:00,13.51665687561035,12.160739898681625,17.118333333333336,15.726666666666668,14.368333333333332,14.6175,21.08083333333333,20.4075,15.309166666666666,15.388333333333334,37.031666666666666,36.4725,15.703333333333331,15.685,0.0,0.00035132160000000566,0.00035132160000000566,0.002152759039999978,0.0004834636799999998,0.0004834636799999998,0.003833139200000005,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0008718674111999911,0.0,0.0,0.0
2024-12-08 01:00:00,13.521026611328123,12.172227859497047,17.1175,15.673333333333334,14.086666666666668,14.341666666666669,21.025,20.45,14.989166666666666,15.084166666666668,36.865,36.469166666666666,15.4025,15.4025,0.0,0.0001053964799999107,0.0001053964799999107,0.0014583206400000108,0.0008287948800000323,0.0008287948800000323,0.0025089638399999783,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0007802015424000059,0.0,0.0,0.0
2024-12-08 02:00:00,13.4791431427002,12.182239532470676,17.1625,15.721666666666668,13.886666666666668,14.11,21.126666666666665,20.48583333333333,14.719166666666666,14.811666666666667,36.92666666666666,36.4625,15.108333333333333,15.134166666666667,0.0,0.0020376652800000563,0.0020376652800000563,0.009305474559999992,0.003867709439999999,0.003867709439999999,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.003536080332799997,0.0,0.0,0.0
2024-12-08 03:00:00,13.528184890747074,12.1616840362549,17.1775,15.698333333333334,13.728333333333332,13.920833333333333,21.174166666666668,20.445833333333333,14.4775,14.558333333333334,36.96416666666667,36.51166666666666,14.850833333333334,14.894166666666669,0.0,0.0018268723200000067,0.0018268723200000067,0.003333304320000025,0.0011395929600000727,0.0011395929600000727,0.007875358720000008,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.001899983462400014,0.0,0.0,0.0
2024-12-08 04:00:00,13.534004211425774,12.149145126342775,17.24,15.7125,13.6575,13.810833333333331,21.066666666666663,20.4675,14.280833333333334,14.356666666666666,36.9725,36.47833333333333,14.6175,14.6875,0.0,0.00014052863999992828,0.00014052863999992828,0.0020138713599998823,0.0005870630399999754,0.0005870630399999754,0.007039037440000016,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0003020807039999823,0.0,0.0,0.0
2024-12-08 05:00:00,13.557222366333,12.12205505371095,17.195833333333333,15.7075,13.689166666666669,13.809166666666666,21.141666666666666,20.42833333333333,14.14,14.2225,36.89833333333333,36.52583333333333,14.461666666666666,14.514166666666666,0.0,0.09338128128000003,0.09338128128000003,0.13020720000000005,0.07580019839999988,0.07580019839999988,0.16405835776000002,0.0,0.0,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.047525628000000014,0.0,0.0,0.0
2024-12-08 06:00:00,13.50204849243165,12.1180992126465,17.15,15.68,13.639166666666668,13.788333333333334,21.1075,20.4675,14.071666666666664,14.1275,36.94083333333334,36.64833333333333,14.359166666666669,14.410833333333333,0.0,0.09257324159999997,0.09257324159999997,0.13701269632000004,0.09344662272000004,0.09344662272000004,0.18782382079999999,0.0,0.0,0.0,0.6975,0.0,0.0,0.045,0.0,0.0,0.09556635568320003,0.0,0.0,0.008452071935999998
2024-12-08 07:00:00,13.4893741607666,12.066251754760753,17.235,15.684166666666668,13.425833333333332,13.609166666666669,21.01,20.3625,13.9575,14.009166666666664,36.93833333333333,36.53833333333333,14.2175,14.264166666666666,0.0,0.08097962879999993,0.08097962879999993,0.10902682879999986,0.06747771648000003,0.06747771648000003,0.14057166847999997,0.0,0.0,0.0,0.5225,0.0,0.0,0.1075,0.0,0.0,0.056966518047999924,0.0,0.0,0.015111454361599996
2024-12-08 08:00:00,13.48469161987305,12.0829200744629,17.10666666666667,15.640833333333337,13.416666666666666,13.53,21.0,20.3025,13.809166666666666,13.870833333333334,37.016666666666666,36.60416666666667,14.0875,14.118333333333332,0.0,0.07001839488,0.07001839488,0.11888785408,0.06875544191999995,0.06875544191999995,0.13708699648000006,0.0,0.0,0.0,0.6925,0.0,0.0,0.065,0.0,0.0,0.0823298389504,0.0,0.0,0.008910654771200004
2024-12-08 09:00:00,13.515180587768551,12.171695709228526,17.073333333333334,15.590833333333334,13.8525,13.853333333333332,20.926666666666662,20.27166666666667,13.775,13.840833333333332,36.969166666666666,36.66916666666667,13.983333333333333,14.075,0.0,0.08832225023999998,0.08832225023999998,0.1349988249600001,0.08384641536000009,0.08384641536000009,0.17095800832000005,0.0,0.0,0.0,0.85,0.0,0.0,0.475,0.0,0.0,0.11474900121600008,0.0,0.0,0.08120505395200002
