 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date: ***.**.    Time: ***:**:**
 Units: L = mm   , T = hours, M = M    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   6    -5.0000     -71.144 0.1536   0.5938E-02  0.8841E-03  0.9538E-03  0.0000E+00      -1   0.318E-03   20.00  0.3634E+01  0.0000E+00
   7    -6.0000     -69.977 0.1547   0.6248E-02  0.9066E-03  0.1058E-02  0.0000E+00      -1   0.353E-03   20.00  0.2897E+01  0.0000E+00
   8    -7.0000     -68.806 0.1558   0.6559E-02  0.9292E-03  0.1121E-02  0.0000E+00      -1   0.374E-03   20.00  0.2242E+01  0.0000E+00
   9    -8.0000     -67.635 0.1569   0.6869E-02  0.9518E-03  0.1145E-02  0.0000E+00      -1   0.382E-03   20.00  0.1679E+01  0.0000E+00
  10    -9.0000     -66.472 0.1580   0.7178E-02  0.9743E-03  0.1133E-02  0.0000E+00      -1   0.378E-03   20.00  0.1219E+01  0.0000E+00
  11   -10.0000     -65.320 0.1591   0.7484E-02  0.9965E-03  0.1089E-02  0.0000E+00      -1   0.363E-03   20.00  0.8593E+00  0.0000E+00
  12   -11.0000     -64.181 0.1602   0.7787E-02  0.1019E-02  0.1018E-02  0.0000E+00      -1   0.339E-03   20.00  0.5955E+00  0.0000E+00
  13   -12.0000     -63.058 0.1612   0.8085E-02  0.1040E-02  0.9247E-03  0.0000E+00      -1   0.308E-03   20.00  0.4163E+00  0.0000E+00
  14   -13.0000     -61.952 0.1622   0.8379E-02  0.1062E-02  0.8119E-03  0.0000E+00      -1   0.271E-03   20.00  0.3074E+00  0.0000E+00
  15   -14.0000     -60.863 0.1633   0.8668E-02  0.1083E-02  0.6832E-03  0.0000E+00      -1   0.228E-03   20.00  0.2563E+00  0.0000E+00
  16   -15.0000     -59.794 0.1643   0.9005E-02  0.1105E-02  0.5144E-03  0.0000E+00      -1   0.171E-03   20.00  0.2576E+00  0.0000E+00
  17   -16.0000     -58.749 0.1657   0.9639E-02  0.1138E-02  0.3077E-03  0.0000E+00      -1   0.103E-03   20.00  0.3236E+00  0.0000E+00
  18   -17.0000     -57.729 0.1670   0.1026E-01  0.1170E-02  0.9293E-04  0.0000E+00      -1   0.310E-04   20.00  0.4861E+00  0.0000E+00
  19   -18.0000     -56.731 0.1682   0.1086E-01  0.1201E-02 -0.1254E-03  0.0000E+00      -1  -0.418E-04   20.00  0.7534E+00  0.0000E+00
  20   -19.0000     -55.752 0.1695   0.1146E-01  0.1232E-02 -0.3431E-03  0.0000E+00      -1  -0.114E-03   20.00  0.1054E+01  0.0000E+00
  21   -20.0000     -54.790 0.1707   0.1204E-01  0.1262E-02 -0.5563E-03  0.0000E+00      -1  -0.185E-03   20.00  0.1305E+01  0.0000E+00
  22   -21.0000     -53.844 0.1719   0.1262E-01  0.1291E-02 -0.7611E-03  0.0000E+00      -1  -0.254E-03   20.00  0.1549E+01  0.0000E+00
  23   -22.0000     -52.911 0.1731   0.1318E-01  0.1321E-02 -0.9545E-03  0.0000E+00      -1  -0.318E-03   20.00  0.1802E+01  0.0000E+00
  24   -23.0000     -51.988 0.1743   0.1374E-01  0.1350E-02 -0.1133E-02  0.0000E+00      -1  -0.378E-03   20.00  0.2060E+01  0.0000E+00
  25   -24.0000     -51.075 0.1755   0.1430E-01  0.1378E-02 -0.1296E-02  0.0000E+00      -1  -0.432E-03   20.00  0.2315E+01  0.0000E+00
  26   -25.0000     -50.170 0.1766   0.1485E-01  0.1407E-02 -0.1441E-02  0.0000E+00      -1  -0.480E-03   20.00  0.2559E+01  0.0000E+00
  27   -26.0000     -49.269 0.1778   0.1539E-01  0.1435E-02 -0.1566E-02  0.0000E+00      -1  -0.522E-03   20.00  0.2784E+01  0.0000E+00
  28   -27.0000     -48.373 0.1789   0.1594E-01  0.1463E-02 -0.1673E-02  0.0000E+00      -1  -0.558E-03   20.00  0.2982E+01  0.0000E+00
  29   -28.0000     -47.479 0.1801   0.1650E-01  0.1491E-02 -0.1774E-02  0.0000E+00      -1  -0.591E-03   20.00  0.3146E+01  0.0000E+00
  30   -29.0000     -46.586 0.1816   0.1771E-01  0.1535E-02 -0.1866E-02  0.0000E+00      -1  -0.622E-03   20.00  0.3271E+01  0.0000E+00
  31   -30.0000     -45.690 0.1832   0.1891E-01  0.1578E-02 -0.1936E-02  0.0000E+00      -1  -0.645E-03   20.00  0.3350E+01  0.0000E+00
  32   -31.0000     -44.791 0.1847   0.2012E-01  0.1621E-02 -0.1984E-02  0.0000E+00      -1  -0.661E-03   20.00  0.3379E+01  0.0000E+00
  33   -32.0000     -43.887 0.1862   0.2134E-01  0.1665E-02 -0.2012E-02  0.0000E+00      -1  -0.671E-03   20.00  0.3357E+01  0.0000E+00
  34   -33.0000     -42.979 0.1878   0.2256E-01  0.1709E-02 -0.2021E-02  0.0000E+00      -1  -0.674E-03   20.00  0.3284E+01  0.0000E+00
  35   -34.0000     -42.067 0.1894   0.2379E-01  0.1753E-02 -0.2012E-02  0.0000E+00      -1  -0.671E-03   20.00  0.3165E+01  0.0000E+00
  36   -35.0000     -41.149 0.1909   0.2502E-01  0.1798E-02 -0.1987E-02  0.0000E+00      -1  -0.662E-03   20.00  0.3005E+01  0.0000E+00
  37   -36.0000     -40.226 0.1925   0.2626E-01  0.1842E-02 -0.1947E-02  0.0000E+00      -1  -0.649E-03   20.00  0.2811E+01  0.0000E+00
  38   -37.0000     -39.297 0.1941   0.2751E-01  0.1887E-02 -0.1891E-02  0.0000E+00      -1  -0.630E-03   20.00  0.2591E+01  0.0000E+00
  39   -38.0000     -38.363 0.1957   0.2877E-01  0.1932E-02 -0.1822E-02  0.0000E+00      -1  -0.607E-03   20.00  0.2354E+01  0.0000E+00
  40   -39.0000     -37.423 0.1974   0.3038E-01  0.1983E-02 -0.1727E-02  0.0000E+00      -1  -0.576E-03   20.00  0.2107E+01  0.0000E+00
  41   -40.0000     -36.476 0.1995   0.3309E-01  0.2049E-02 -0.1605E-02  0.0000E+00      -1  -0.535E-03   20.00  0.1858E+01  0.0000E+00
  42   -41.0000     -35.521 0.2017   0.3583E-01  0.2116E-02 -0.1470E-02  0.0000E+00      -1  -0.490E-03   20.00  0.1613E+01  0.0000E+00
  43   -42.0000     -34.558 0.2038   0.3859E-01  0.2184E-02 -0.1323E-02  0.0000E+00      -1  -0.441E-03   20.00  0.1382E+01  0.0000E+00
  44   -43.0000     -33.590 0.2060   0.4137E-01  0.2252E-02 -0.1167E-02  0.0000E+00      -1  -0.389E-03   20.00  0.1169E+01  0.0000E+00
  45   -44.0000     -32.615 0.2081   0.4417E-01  0.2320E-02 -0.1003E-02  0.0000E+00      -1  -0.334E-03   20.00  0.9777E+00  0.0000E+00
  46   -45.0000     -31.635 0.2103   0.4697E-01  0.2389E-02 -0.8333E-03  0.0000E+00      -1  -0.278E-03   20.00  0.8125E+00  0.0000E+00
  47   -46.0000     -30.651 0.2125   0.4980E-01  0.2458E-02 -0.6583E-03  0.0000E+00      -1  -0.219E-03   20.00  0.6759E+00  0.0000E+00
  48   -47.0000     -29.662 0.2148   0.5315E-01  0.2531E-02 -0.4565E-03  0.0000E+00      -1  -0.152E-03   20.00  0.5710E+00  0.0000E+00
  49   -48.0000     -28.668 0.2176   0.5893E-01  0.2624E-02 -0.2289E-03  0.0000E+00      -1  -0.763E-04   20.00  0.5054E+00  0.0000E+00
  50   -49.0000     -27.670 0.2204   0.6474E-01  0.2718E-02 -0.1146E-03  0.0000E+00      -1  -0.382E-04   20.00  0.5054E+00  0.0000E+00
end


 Time:        4.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -76.397 0.1489   0.4656E-02  0.7885E-03 -0.6172E-08  0.0000E+00      -1  -0.206E-08   20.00  0.7457E+01  0.0000E+00
   2    -1.0000     -75.383 0.1497   0.4812E-02  0.8022E-03  0.1568E-03  0.0000E+00      -1   0.523E-04   20.00  0.6598E+01  0.0000E+00
   3    -2.0000     -74.333 0.1507   0.5091E-02  0.8225E-03  0.3330E-03  0.0000E+00      -1   0.111E-03   20.00  0.5696E+01  0.0000E+00
   4    -3.0000     -73.253 0.1517   0.5378E-02  0.8433E-03  0.4956E-03  0.0000E+00      -1   0.165E-03   20.00  0.4824E+01  0.0000E+00
   5    -4.0000     -72.150 0.1527   0.5671E-02  0.8647E-03  0.6374E-03  0.0000E+00      -1   0.212E-03   20.00  0.4004E+01  0.0000E+00
   6    -5.0000     -71.029 0.1537   0.5968E-02  0.8863E-03  0.7531E-03  0.0000E+00      -1   0.251E-03   20.00  0.3244E+01  0.0000E+00
   7    -6.0000     -69.898 0.1548   0.6269E-02  0.9081E-03  0.8397E-03  0.0000E+00      -1   0.280E-03   20.00  0.2552E+01  0.0000E+00
   8    -7.0000     -68.761 0.1559   0.6571E-02  0.9301E-03  0.8959E-03  0.0000E+00      -1   0.299E-03   20.00  0.1942E+01  0.0000E+00
   9    -8.0000     -67.625 0.1569   0.6872E-02  0.9520E-03  0.9220E-03  0.0000E+00      -1   0.307E-03   20.00  0.1426E+01  0.0000E+00
  10    -9.0000     -66.493 0.1580   0.7173E-02  0.9739E-03  0.9194E-03  0.0000E+00      -1   0.306E-03   20.00  0.1011E+01  0.0000E+00
  11   -10.0000     -65.368 0.1590   0.7472E-02  0.9956E-03  0.8904E-03  0.0000E+00      -1   0.297E-03   20.00  0.6955E+00  0.0000E+00
  12   -11.0000     -64.254 0.1601   0.7768E-02  0.1017E-02  0.8376E-03  0.0000E+00      -1   0.279E-03   20.00  0.4721E+00  0.0000E+00
  13   -12.0000     -63.152 0.1611   0.8060E-02  0.1038E-02  0.7639E-03  0.0000E+00      -1   0.255E-03   20.00  0.3269E+00  0.0000E+00
  14   -13.0000     -62.064 0.1621   0.8349E-02  0.1059E-02  0.6722E-03  0.0000E+00      -1   0.224E-03   20.00  0.2434E+00  0.0000E+00
  15   -14.0000     -60.991 0.1631   0.8635E-02  0.1080E-02  0.5654E-03  0.0000E+00      -1   0.188E-03   20.00  0.2090E+00  0.0000E+00
  16   -15.0000     -59.933 0.1641   0.8920E-02  0.1101E-02  0.4235E-03  0.0000E+00      -1   0.141E-03   20.00  0.2200E+00  0.0000E+00
  17   -16.0000     -58.897 0.1655   0.9550E-02  0.1133E-02  0.2486E-03  0.0000E+00      -1   0.829E-04   20.00  0.2911E+00  0.0000E+00
  18   -17.0000     -57.880 0.1668   0.1017E-01  0.1165E-02  0.6615E-04  0.0000E+00      -1   0.221E-04   20.00  0.4596E+00  0.0000E+00
  19   -18.0000     -56.883 0.1680   0.1077E-01  0.1196E-02 -0.1195E-03  0.0000E+00      -1  -0.398E-04   20.00  0.7398E+00  0.0000E+00
  20   -19.0000     -55.902 0.1693   0.1137E-01  0.1227E-02 -0.3048E-03  0.0000E+00      -1  -0.102E-03   20.00  0.1053E+01  0.0000E+00
  21   -20.0000     -54.936 0.1705   0.1195E-01  0.1257E-02 -0.4863E-03  0.0000E+00      -1  -0.162E-03   20.00  0.1307E+01  0.0000E+00
  22   -21.0000     -53.983 0.1718   0.1253E-01  0.1287E-02 -0.6613E-03  0.0000E+00      -1  -0.220E-03   20.00  0.1551E+01  0.0000E+00
  23   -22.0000     -53.042 0.1730   0.1310E-01  0.1317E-02 -0.8274E-03  0.0000E+00      -1  -0.276E-03   20.00  0.1804E+01  0.0000E+00
  24   -23.0000     -52.109 0.1742   0.1367E-01  0.1346E-02 -0.9825E-03  0.0000E+00      -1  -0.328E-03   20.00  0.2061E+01  0.0000E+00
  25   -24.0000     -51.185 0.1753   0.1423E-01  0.1375E-02 -0.1125E-02  0.0000E+00      -1  -0.375E-03   20.00  0.2315E+01  0.0000E+00
  26   -25.0000     -50.267 0.1765   0.1479E-01  0.1403E-02 -0.1254E-02  0.0000E+00      -1  -0.418E-03   20.00  0.2557E+01  0.0000E+00
  27   -26.0000     -49.355 0.1777   0.1534E-01  0.1432E-02 -0.1369E-02  0.0000E+00      -1  -0.456E-03   20.00  0.2781E+01  0.0000E+00
  28   -27.0000     -48.446 0.1788   0.1589E-01  0.1461E-02 -0.1468E-02  0.0000E+00      -1  -0.489E-03   20.00  0.2978E+01  0.0000E+00
  29   -28.0000     -47.539 0.1800   0.1645E-01  0.1489E-02 -0.1553E-02  0.0000E+00      -1  -0.518E-03   20.00  0.3141E+01  0.0000E+00
  30   -29.0000     -46.633 0.1815   0.1764E-01  0.1532E-02 -0.1633E-02  0.0000E+00      -1  -0.544E-03   20.00  0.3266E+01  0.0000E+00
  31   -30.0000     -45.724 0.1831   0.1886E-01  0.1576E-02 -0.1703E-02  0.0000E+00      -1  -0.568E-03   20.00  0.3344E+01  0.0000E+00
  32   -31.0000     -44.813 0.1847   0.2009E-01  0.1620E-02 -0.1753E-02  0.0000E+00      -1  -0.584E-03   20.00  0.3373E+01  0.0000E+00
  33   -32.0000     -43.899 0.1862   0.2132E-01  0.1665E-02 -0.1783E-02  0.0000E+00      -1  -0.594E-03   20.00  0.3352E+01  0.0000E+00
  34   -33.0000     -42.981 0.1878   0.2256E-01  0.1709E-02 -0.1795E-02  0.0000E+00      -1  -0.598E-03   20.00  0.3280E+01  0.0000E+00
  35   -34.0000     -42.058 0.1894   0.2380E-01  0.1754E-02 -0.1791E-02  0.0000E+00      -1  -0.597E-03   20.00  0.3162E+01  0.0000E+00
  36   -35.0000     -41.131 0.1910   0.2504E-01  0.1798E-02 -0.1770E-02  0.0000E+00      -1  -0.590E-03   20.00  0.3003E+01  0.0000E+00
  37   -36.0000     -40.200 0.1926   0.2630E-01  0.1843E-02 -0.1735E-02  0.0000E+00      -1  -0.578E-03   20.00  0.2810E+01  0.0000E+00
  38   -37.0000     -39.263 0.1942   0.2756E-01  0.1889E-02 -0.1686E-02  0.0000E+00      -1  -0.562E-03   20.00  0.2592E+01  0.0000E+00
  39   -38.0000     -38.322 0.1958   0.2882E-01  0.1934E-02 -0.1624E-02  0.0000E+00      -1  -0.541E-03   20.00  0.2356E+01  0.0000E+00
  40   -39.0000     -37.376 0.1975   0.3051E-01  0.1986E-02 -0.1539E-02  0.0000E+00      -1  -0.513E-03   20.00  0.2110E+01  0.0000E+00
  41   -40.0000     -36.423 0.1997   0.3325E-01  0.2053E-02 -0.1430E-02  0.0000E+00      -1  -0.477E-03   20.00  0.1861E+01  0.0000E+00
  42   -41.0000     -35.462 0.2018   0.3600E-01  0.2120E-02 -0.1310E-02  0.0000E+00      -1  -0.437E-03   20.00  0.1618E+01  0.0000E+00
  43   -42.0000     -34.496 0.2039   0.3877E-01  0.2188E-02 -0.1179E-02  0.0000E+00      -1  -0.393E-03   20.00  0.1386E+01  0.0000E+00
  44   -43.0000     -33.523 0.2061   0.4156E-01  0.2256E-02 -0.1040E-02  0.0000E+00      -1  -0.347E-03   20.00  0.1173E+01  0.0000E+00
  45   -44.0000     -32.546 0.2083   0.4436E-01  0.2325E-02 -0.8935E-03  0.0000E+00      -1  -0.298E-03   20.00  0.9813E+00  0.0000E+00
  46   -45.0000     -31.564 0.2105   0.4718E-01  0.2394E-02 -0.7419E-03  0.0000E+00      -1  -0.247E-03   20.00  0.8156E+00  0.0000E+00
  47   -46.0000     -30.577 0.2127   0.5001E-01  0.2463E-02 -0.5860E-03  0.0000E+00      -1  -0.195E-03   20.00  0.6786E+00  0.0000E+00
  48   -47.0000     -29.587 0.2150   0.5358E-01  0.2538E-02 -0.4063E-03  0.0000E+00      -1  -0.135E-03   20.00  0.5733E+00  0.0000E+00
  49   -48.0000     -28.593 0.2178   0.5937E-01  0.2631E-02 -0.2038E-03  0.0000E+00      -1  -0.679E-04   20.00  0.5075E+00  0.0000E+00
  50   -49.0000     -27.594 0.2206   0.6518E-01  0.2725E-02 -0.1020E-03  0.0000E+00      -1  -0.340E-04   20.00  0.5075E+00  0.0000E+00
end


 Time:        5.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -76.239 0.1490   0.4675E-02  0.7903E-03 -0.1822E-08  0.0000E+00      -1  -0.607E-09   20.00  0.6876E+01  0.0000E+00
   2    -1.0000     -75.228 0.1498   0.4854E-02  0.8053E-03  0.1280E-03  0.0000E+00      -1   0.427E-04   20.00  0.6051E+01  0.0000E+00
   3    -2.0000     -74.187 0.1508   0.5130E-02  0.8253E-03  0.2713E-03  0.0000E+00      -1   0.904E-04   20.00  0.5188E+01  0.0000E+00
   4    -3.0000     -73.123 0.1518   0.5413E-02  0.8459E-03  0.4027E-03  0.0000E+00      -1   0.134E-03   20.00  0.4356E+01  0.0000E+00
   5    -4.0000     -72.039 0.1528   0.5701E-02  0.8668E-03  0.5172E-03  0.0000E+00      -1   0.172E-03   20.00  0.3578E+01  0.0000E+00
   6    -5.0000     -70.942 0.1538   0.5992E-02  0.8880E-03  0.6113E-03  0.0000E+00      -1   0.204E-03   20.00  0.2861E+01  0.0000E+00
   7    -6.0000     -69.835 0.1549   0.6286E-02  0.9094E-03  0.6823E-03  0.0000E+00      -1   0.227E-03   20.00  0.2214E+01  0.0000E+00
   8    -7.0000     -68.725 0.1559   0.6580E-02  0.9308E-03  0.7293E-03  0.0000E+00      -1   0.243E-03   20.00  0.1649E+01  0.0000E+00
   9    -8.0000     -67.614 0.1569   0.6875E-02  0.9523E-03  0.7520E-03  0.0000E+00      -1   0.251E-03   20.00  0.1180E+01  0.0000E+00
  10    -9.0000     -66.506 0.1580   0.7169E-02  0.9736E-03  0.7511E-03  0.0000E+00      -1   0.250E-03   20.00  0.8112E+00  0.0000E+00
  11   -10.0000     -65.404 0.1590   0.7462E-02  0.9949E-03  0.7281E-03  0.0000E+00      -1   0.243E-03   20.00  0.5409E+00  0.0000E+00
  12   -11.0000     -64.311 0.1600   0.7752E-02  0.1016E-02  0.6846E-03  0.0000E+00      -1   0.228E-03   20.00  0.3579E+00  0.0000E+00
  13   -12.0000     -63.227 0.1611   0.8040E-02  0.1037E-02  0.6227E-03  0.0000E+00      -1   0.208E-03   20.00  0.2455E+00  0.0000E+00
  14   -13.0000     -62.155 0.1621   0.8325E-02  0.1058E-02  0.5444E-03  0.0000E+00      -1   0.181E-03   20.00  0.1856E+00  0.0000E+00
  15   -14.0000     -61.096 0.1630   0.8606E-02  0.1078E-02  0.4520E-03  0.0000E+00      -1   0.151E-03   20.00  0.1659E+00  0.0000E+00
  16   -15.0000     -60.050 0.1640   0.8884E-02  0.1098E-02  0.3451E-03  0.0000E+00      -1   0.115E-03   20.00  0.1849E+00  0.0000E+00
  17   -16.0000     -59.019 0.1653   0.9474E-02  0.1129E-02  0.2087E-03  0.0000E+00      -1   0.696E-04   20.00  0.2601E+00  0.0000E+00
  18   -17.0000     -58.006 0.1666   0.1009E-01  0.1161E-02  0.4882E-04  0.0000E+00      -1   0.163E-04   20.00  0.4340E+00  0.0000E+00
  19   -18.0000     -57.009 0.1679   0.1069E-01  0.1192E-02 -0.1133E-03  0.0000E+00      -1  -0.378E-04   20.00  0.7263E+00  0.0000E+00
  20   -19.0000     -56.026 0.1691   0.1129E-01  0.1223E-02 -0.2748E-03  0.0000E+00      -1  -0.916E-04   20.00  0.1051E+01  0.0000E+00
  21   -20.0000     -55.057 0.1704   0.1188E-01  0.1253E-02 -0.4331E-03  0.0000E+00      -1  -0.144E-03   20.00  0.1308E+01  0.0000E+00
  22   -21.0000     -54.099 0.1716   0.1246E-01  0.1283E-02 -0.5859E-03  0.0000E+00      -1  -0.195E-03   20.00  0.1553E+01  0.0000E+00
  23   -22.0000     -53.151 0.1728   0.1304E-01  0.1313E-02 -0.7313E-03  0.0000E+00      -1  -0.244E-03   20.00  0.1805E+01  0.0000E+00
  24   -23.0000     -52.211 0.1740   0.1361E-01  0.1343E-02 -0.8675E-03  0.0000E+00      -1  -0.289E-03   20.00  0.2061E+01  0.0000E+00
  25   -24.0000     -51.278 0.1752   0.1417E-01  0.1372E-02 -0.9932E-03  0.0000E+00      -1  -0.331E-03   20.00  0.2314E+01  0.0000E+00
  26   -25.0000     -50.351 0.1764   0.1474E-01  0.1401E-02 -0.1107E-02  0.0000E+00      -1  -0.369E-03   20.00  0.2556E+01  0.0000E+00
  27   -26.0000     -49.428 0.1776   0.1530E-01  0.1430E-02 -0.1209E-02  0.0000E+00      -1  -0.403E-03   20.00  0.2778E+01  0.0000E+00
  28   -27.0000     -48.509 0.1788   0.1586E-01  0.1459E-02 -0.1298E-02  0.0000E+00      -1  -0.433E-03   20.00  0.2974E+01  0.0000E+00
  29   -28.0000     -47.592 0.1799   0.1641E-01  0.1487E-02 -0.1373E-02  0.0000E+00      -1  -0.458E-03   20.00  0.3137E+01  0.0000E+00
  30   -29.0000     -46.675 0.1815   0.1758E-01  0.1530E-02 -0.1443E-02  0.0000E+00      -1  -0.481E-03   20.00  0.3261E+01  0.0000E+00
  31   -30.0000     -45.756 0.1830   0.1882E-01  0.1575E-02 -0.1507E-02  0.0000E+00      -1  -0.502E-03   20.00  0.3339E+01  0.0000E+00
  32   -31.0000     -44.835 0.1846   0.2006E-01  0.1619E-02 -0.1554E-02  0.0000E+00      -1  -0.518E-03   20.00  0.3368E+01  0.0000E+00
  33   -32.0000     -43.911 0.1862   0.2130E-01  0.1664E-02 -0.1583E-02  0.0000E+00      -1  -0.528E-03   20.00  0.3347E+01  0.0000E+00
  34   -33.0000     -42.984 0.1878   0.2255E-01  0.1709E-02 -0.1596E-02  0.0000E+00      -1  -0.532E-03   20.00  0.3276E+01  0.0000E+00
  35   -34.0000     -42.053 0.1894   0.2380E-01  0.1754E-02 -0.1593E-02  0.0000E+00      -1  -0.531E-03   20.00  0.3159E+01  0.0000E+00
  36   -35.0000     -41.118 0.1910   0.2506E-01  0.1799E-02 -0.1576E-02  0.0000E+00      -1  -0.525E-03   20.00  0.3002E+01  0.0000E+00
  37   -36.0000     -40.179 0.1926   0.2633E-01  0.1845E-02 -0.1546E-02  0.0000E+00      -1  -0.515E-03   20.00  0.2810E+01  0.0000E+00
  38   -37.0000     -39.235 0.1942   0.2760E-01  0.1890E-02 -0.1503E-02  0.0000E+00      -1  -0.501E-03   20.00  0.2592E+01  0.0000E+00
  39   -38.0000     -38.288 0.1958   0.2887E-01  0.1936E-02 -0.1449E-02  0.0000E+00      -1  -0.483E-03   20.00  0.2358E+01  0.0000E+00
  40   -39.0000     -37.335 0.1976   0.3063E-01  0.1989E-02 -0.1374E-02  0.0000E+00      -1  -0.458E-03   20.00  0.2112E+01  0.0000E+00
  41   -40.0000     -36.377 0.1998   0.3338E-01  0.2056E-02 -0.1277E-02  0.0000E+00      -1  -0.426E-03   20.00  0.1865E+01  0.0000E+00
  42   -41.0000     -35.412 0.2019   0.3615E-01  0.2124E-02 -0.1169E-02  0.0000E+00      -1  -0.390E-03   20.00  0.1621E+01  0.0000E+00
  43   -42.0000     -34.442 0.2041   0.3893E-01  0.2192E-02 -0.1053E-02  0.0000E+00      -1  -0.351E-03   20.00  0.1390E+01  0.0000E+00
  44   -43.0000     -33.466 0.2062   0.4173E-01  0.2260E-02 -0.9284E-03  0.0000E+00      -1  -0.309E-03   20.00  0.1176E+01  0.0000E+00
  45   -44.0000     -32.486 0.2084   0.4454E-01  0.2329E-02 -0.7980E-03  0.0000E+00      -1  -0.266E-03   20.00  0.9846E+00  0.0000E+00
  46   -45.0000     -31.502 0.2106   0.4736E-01  0.2398E-02 -0.6627E-03  0.0000E+00      -1  -0.221E-03   20.00  0.8185E+00  0.0000E+00
  47   -46.0000     -30.514 0.2128   0.5019E-01  0.2467E-02 -0.5235E-03  0.0000E+00      -1  -0.174E-03   20.00  0.6811E+00  0.0000E+00
  48   -47.0000     -29.523 0.2152   0.5396E-01  0.2544E-02 -0.3630E-03  0.0000E+00      -1  -0.121E-03   20.00  0.5755E+00  0.0000E+00
  49   -48.0000     -28.528 0.2180   0.5975E-01  0.2637E-02 -0.1821E-03  0.0000E+00      -1  -0.607E-04   20.00  0.5095E+00  0.0000E+00
  50   -49.0000     -27.529 0.2208   0.6556E-01  0.2731E-02 -0.9118E-04  0.0000E+00      -1  -0.304E-04   20.00  0.5095E+00  0.0000E+00
end


 Time:        6.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -76.108 0.1491   0.4689E-02  0.7918E-03 -0.1820E-07  0.0000E+00      -1  -0.607E-08   20.00  0.6301E+01  0.0000E+00
   2    -1.0000     -75.099 0.1499   0.4888E-02  0.8077E-03  0.1034E-03  0.0000E+00      -1   0.345E-04   20.00  0.5509E+01  0.0000E+00
   3    -2.0000     -74.067 0.1509   0.5162E-02  0.8277E-03  0.2191E-03  0.0000E+00      -1   0.730E-04   20.00  0.4686E+01  0.0000E+00
   4    -3.0000     -73.015 0.1519   0.5441E-02  0.8480E-03  0.3252E-03  0.0000E+00      -1   0.108E-03   20.00  0.3896E+01  0.0000E+00
   5    -4.0000     -71.947 0.1529   0.5725E-02  0.8686E-03  0.4178E-03  0.0000E+00      -1   0.139E-03   20.00  0.3160E+01  0.0000E+00
   6    -5.0000     -70.869 0.1539   0.6011E-02  0.8894E-03  0.4940E-03  0.0000E+00      -1   0.165E-03   20.00  0.2486E+01  0.0000E+00
   7    -6.0000     -69.783 0.1549   0.6299E-02  0.9104E-03  0.5520E-03  0.0000E+00      -1   0.184E-03   20.00  0.1884E+01  0.0000E+00
   8    -7.0000     -68.694 0.1559   0.6589E-02  0.9314E-03  0.5906E-03  0.0000E+00      -1   0.197E-03   20.00  0.1367E+01  0.0000E+00
   9    -8.0000     -67.604 0.1570   0.6878E-02  0.9524E-03  0.6096E-03  0.0000E+00      -1   0.203E-03   20.00  0.9460E+00  0.0000E+00
  10    -9.0000     -66.517 0.1580   0.7167E-02  0.9734E-03  0.6093E-03  0.0000E+00      -1   0.203E-03   20.00  0.6263E+00  0.0000E+00
  11   -10.0000     -65.434 0.1590   0.7454E-02  0.9944E-03  0.5905E-03  0.0000E+00      -1   0.197E-03   20.00  0.4020E+00  0.0000E+00
  12   -11.0000     -64.358 0.1600   0.7740E-02  0.1015E-02  0.5546E-03  0.0000E+00      -1   0.185E-03   20.00  0.2589E+00  0.0000E+00
  13   -12.0000     -63.290 0.1610   0.8023E-02  0.1036E-02  0.5031E-03  0.0000E+00      -1   0.168E-03   20.00  0.1769E+00  0.0000E+00
  14   -13.0000     -62.232 0.1620   0.8304E-02  0.1056E-02  0.4378E-03  0.0000E+00      -1   0.146E-03   20.00  0.1372E+00  0.0000E+00
  15   -14.0000     -61.185 0.1630   0.8583E-02  0.1076E-02  0.3604E-03  0.0000E+00      -1   0.120E-03   20.00  0.1292E+00  0.0000E+00
  16   -15.0000     -60.148 0.1639   0.8858E-02  0.1096E-02  0.2729E-03  0.0000E+00      -1   0.910E-04   20.00  0.1538E+00  0.0000E+00
  17   -16.0000     -59.123 0.1652   0.9411E-02  0.1126E-02  0.1600E-03  0.0000E+00      -1   0.533E-04   20.00  0.2314E+00  0.0000E+00
