 ******* Program HYDRUS
 ******* Fertilization optimization                                              
 Date:   0. 0.    Time:   1:**:24
 Units: L = mm   , T = hours, M = M    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  935     93.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  936     93.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  937     93.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  938     93.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  939     93.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  940     93.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  941     94.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  942     94.10     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  943     94.20     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  944     94.30     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  945     94.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  946     94.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  947     94.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  948     94.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  949     94.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  950     94.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  951     95.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  952     95.10     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  953     95.20     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  954     95.30     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  955     95.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  956     95.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  957     95.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  958     95.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  959     95.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  960     95.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  961     96.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  962     96.10     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  963     96.20     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  964     96.30     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  965     96.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  966     96.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  967     96.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  968     96.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  969     96.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  970     96.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  971     97.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  972     97.10     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  973     97.20     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  974     97.30     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  975     97.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  976     97.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  977     97.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  978     97.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  979     97.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  980     97.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  981     98.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  982     98.10     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  983     98.20     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  984     98.30     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  985     98.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  986     98.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  987     98.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  988     98.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  989     98.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  990     98.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  991     99.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  992     99.10     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  993     99.20     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  994     99.30     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  995     99.40     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  996     99.50     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  997     99.60     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  998     99.70     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
  999     99.80     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
 1000     99.90     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
 1001    100.00     0.075     0.300      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
end
    0.1000000E-01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2000000E-01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3300000E-01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.4990000E-01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.7187000E-01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1004310E+00   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1375603E+00   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1858284E+00   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2485769E+00   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3320683E+00   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.4433903E+00   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5825427E+00   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.7912714E+00   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1000000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1250000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1625000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2000000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2333333E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3000000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3500000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.4000000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5000000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5010000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5017000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5024000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5031000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5038000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5045000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5052000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5059000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5066000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5075100E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5084200E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5093300E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5102400E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5114230E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5126060E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5137890E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5153269E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5168648E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5184027E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5199406E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5219399E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5239391E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5259384E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5279377E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5299369E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5325360E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5351350E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5377341E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5403331E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5429322E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5455313E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5489100E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5522888E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5556675E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5590463E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5624251E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5658038E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5692235E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5726431E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5760627E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5805395E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5850410E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5895663E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5941141E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.5970571E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6000000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6045944E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6091887E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6137831E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6183775E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6229719E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6275662E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6335389E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6395116E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6455604E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6533375E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6611146E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6708359E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6805573E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.6902786E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.7000000E+01   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.7166667E+01   0.4547E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.7333333E+01   0.5242E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.7500000E+01   0.6015E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.7728299E+01   0.7077E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.7864149E+01   0.7725E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.8000000E+01   0.7819E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.8250000E+01   0.7819E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.8565637E+01   0.7794E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.8782819E+01   0.7753E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.9000000E+01   0.7733E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.9406281E+01   0.7700E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.9703140E+01   0.7649E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1000000E+02   0.7620E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1050000E+02   0.7317E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1100000E+02   0.6667E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1150000E+02   0.5897E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1200000E+02   0.5131E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1250000E+02   0.4411E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1300000E+02   0.3897E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1316667E+02   0.5816E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1322222E+02   0.6613E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1326111E+02   0.6601E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1328833E+02   0.6662E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1332372E+02   0.6406E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1336973E+02   0.6026E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1342953E+02   0.5636E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1351103E+02   0.5224E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1360882E+02   0.4841E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1373922E+02   0.4390E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1386961E+02   0.4280E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1400000E+02   0.4132E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1420000E+02   0.3388E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1446667E+02   0.2974E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1500000E+02   0.1963E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1550000E+02   0.2176E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1566667E+02   0.3705E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1583333E+02   0.3184E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1600000E+02   0.2904E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1625000E+02   0.2258E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1662500E+02   0.1837E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1700000E+02   0.1878E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1716667E+02   0.2747E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1737500E+02   0.2142E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1758333E+02   0.2037E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1800000E+02   0.1333E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1833333E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1844444E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1858333E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1865278E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1873958E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1886979E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1900000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1911111E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1925926E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1944444E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1962963E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.1975309E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2000000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2016667E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2028571E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2046429E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2064286E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2082143E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2100000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2120000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2146667E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2200000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2250000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2300000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2350000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2400000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2500000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2600000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2700000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2800000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2900000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2901000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2901700E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2902400E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2903100E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2903800E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2904500E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2905200E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2905900E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2906600E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2907510E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2908420E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2909330E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2910240E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2911423E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2912606E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2913789E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2915327E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2916865E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2918403E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2920402E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2922401E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2924401E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2926400E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2928399E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2930998E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2933597E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2936196E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2938795E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2942174E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2945553E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2948932E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2952310E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2955689E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2959068E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2962447E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2966619E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2970792E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2974964E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2979137E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2983310E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2987482E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2991655E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.2995827E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3000000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3004602E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3009205E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3013807E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3018410E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3024393E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3030376E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3036360E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3044315E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3052270E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3061816E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3074544E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3087272E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3100000E+02   0.0000E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3116667E+02   0.5811E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3136498E+02   0.6901E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3157665E+02   0.8138E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3178833E+02   0.9392E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3200000E+02   0.1068E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3229495E+02   0.1066E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3262582E+02   0.1066E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3281291E+02   0.1064E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3300000E+02   0.1065E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3341566E+02   0.1065E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3370783E+02   0.1062E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3400000E+02   0.1061E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3450000E+02   0.1048E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3500000E+02   0.9864E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3550000E+02   0.8921E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3600000E+02   0.7926E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3650000E+02   0.6958E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3700000E+02   0.6068E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3750000E+02   0.5464E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3766667E+02   0.8221E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3768519E+02   0.1006E+01  0.0000E+00  0.0000E+00  0.1035E-37
    0.3770926E+02   0.9686E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3772003E+02   0.9888E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3773403E+02   0.9930E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3775222E+02   0.9523E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3777700E+02   0.9291E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3780886E+02   0.9018E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3784709E+02   0.8658E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3789806E+02   0.8177E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3794903E+02   0.8031E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3800000E+02   0.7936E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3808784E+02   0.6925E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3820186E+02   0.6512E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3836149E+02   0.5701E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3857432E+02   0.5078E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3878716E+02   0.5015E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3900000E+02   0.4838E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3933333E+02   0.3741E+00  0.0000E+00  0.0000E+00  0.1035E-37
    0.3966667E+02   0.3853E+00  0.0000E+00  0.0000E+00  0.1035E-37
