Pcp_File_Version=4
0
1001 1 1 1          x    h  Mat  Lay      Beta  Axz  Bxz  Dxz  Temp  Conc SConc
81     -8.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
82     -8.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
83     -8.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
84     -8.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
85     -8.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
86     -8.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
87     -8.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
88     -8.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
89     -8.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
90     -8.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
91     -9.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
92     -9.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
93     -9.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
94     -9.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
95     -9.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
96     -9.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
97     -9.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
98     -9.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
99     -9.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
100    -9.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
101   -10.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
102   -10.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
103   -10.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
104   -10.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
105   -10.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
106   -10.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
107   -10.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
108   -10.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
109   -10.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
110   -10.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
111   -11.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
112   -11.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
113   -11.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
114   -11.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
115   -11.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
116   -11.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
117   -11.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
118   -11.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
119   -11.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
120   -11.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
121   -12.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
122   -12.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
123   -12.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
124   -12.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
125   -12.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
126   -12.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
127   -12.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
128   -12.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
129   -12.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
130   -12.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
131   -13.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
132   -13.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
133   -13.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
134   -13.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
135   -13.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
136   -13.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
137   -13.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
138   -13.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
139   -13.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
140   -13.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
141   -14.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
142   -14.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
143   -14.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
144   -14.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
145   -14.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
146   -14.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
147   -14.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
148   -14.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
149   -14.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
150   -14.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
151   -15.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
152   -15.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
153   -15.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
154   -15.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
155   -15.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
156   -15.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
157   -15.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
158   -15.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
159   -15.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
160   -15.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
161   -16.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
162   -16.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
163   -16.2  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
164   -16.3  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
165   -16.4  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
166   -16.5  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
167   -16.6  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
168   -16.7  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
169   -16.8  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
170   -16.9  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
171   -17.0  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
172   -17.1  0.1    1    1  0.000000  1.0  1.0  1.0  20.0     0      
