  0.3200  -0.870E-02 -0.2061E+01  0.1081E-03  0.2936E+01  0.4678E+00    1.0000  0.1921E-26
  0.3200  -0.110E-01 -0.1960E+01  0.1243E-03  0.2926E+01  0.4663E+00    1.0000  0.6628E-26
  0.3200  -0.138E-01 -0.1859E+01  0.1430E-03  0.2916E+01  0.4647E+00    1.0000  0.2278E-25
  0.3200  -0.175E-01 -0.1758E+01  0.1644E-03  0.2903E+01  0.4628E+00    1.0000  0.7480E-25
  0.3200  -0.221E-01 -0.1657E+01  0.1890E-03  0.2889E+01  0.4607E+00    1.0000  0.2581E-24
  0.3200  -0.278E-01 -0.1556E+01  0.2173E-03  0.2872E+01  0.4582E+00    1.0000  0.9108E-24
  0.3200  -0.351E-01 -0.1455E+01  0.2498E-03  0.2853E+01  0.4553E+00    1.0000  0.3134E-23
  0.3200  -0.443E-01 -0.1354E+01  0.2872E-03  0.2832E+01  0.4520E+00    1.0000  0.1084E-22
  0.3200  -0.559E-01 -0.1253E+01  0.3302E-03  0.2807E+01  0.4482E+00    1.0000  0.3736E-22
  0.3200  -0.705E-01 -0.1152E+01  0.3796E-03  0.2778E+01  0.4438E+00    0.9999  0.1296E-21
  0.3200  -0.890E-01 -0.1051E+01  0.4364E-03  0.2746E+01  0.4387E+00    0.9999  0.4473E-21
  0.3200  -0.112E+00 -0.9495E+00  0.5017E-03  0.2709E+01  0.4328E+00    0.9999  0.1545E-20
  0.3199  -0.142E+00 -0.8485E+00  0.5767E-03  0.2667E+01  0.4260E+00    0.9998  0.5341E-20
  0.3199  -0.179E+00 -0.7475E+00  0.6629E-03  0.2618E+01  0.4180E+00    0.9997  0.1846E-19
  0.3199  -0.226E+00 -0.6465E+00  0.7618E-03  0.2564E+01  0.4089E+00    0.9996  0.6378E-19
  0.3198  -0.285E+00 -0.5455E+00  0.8754E-03  0.2502E+01  0.3982E+00    0.9994  0.2202E-18
  0.3198  -0.359E+00 -0.4444E+00  0.1006E-02  0.2431E+01  0.3858E+00    0.9992  0.7601E-18
  0.3197  -0.453E+00 -0.3434E+00  0.1155E-02  0.2352E+01  0.3714E+00    0.9988  0.2622E-17
  0.3195  -0.572E+00 -0.2424E+00  0.1325E-02  0.2262E+01  0.3545E+00    0.9983  0.9035E-17
  0.3193  -0.722E+00 -0.1414E+00  0.1519E-02  0.2162E+01  0.3348E+00    0.9975  0.3109E-16
  0.3190  -0.911E+00 -0.4040E-01  0.1740E-02  0.2049E+01  0.3116E+00    0.9964  0.1068E-15
